directors,averageRating,meanofRatingNum,sumofRatingNum,primaryName,famous1_name,famous2_name,famous3_name
nm0233123,6.4,2764,88478,Mamoru Hosoda,Wolf Children,The Girl Who Leapt Through Time,Mirai
nm0233370,7.7,23,93,Ole Bornedal,The Possession,Deliver Us from Evil,Nightwatch
nm0233391,4.9,66,66,Alex Proyas,Dark City,Knowing,Gods of Egypt
nm0233409,5.0,1645,9870,Glenn Standring,The Dead Lands,6 Days,Perfect Creature
nm0233585,3.2,4317,82040,Fernand Melgar,Exit: The Right to Die,The Shelter,Special Flight
nm0233589,6.3,19,19,Magdalena Piekorz,Close-ups,Drowsiness,The Welts
nm0233617,4.7,118,2365,Jean-Pierre Dardenne,Rosetta,Lorna's Silence,"Two Days, One Night"
nm0233676,5.8,15,156,Luc Dardenne,L'enfant,"Two Days, One Night",Lorna's Silence
nm0233757,7.5,95956,5181660,Yesim Ustaoglu,Clair Obscur,Journey to the Sun,Pandora's Box
nm0233771,6.9,107,321,Ha Yoo,Gangnam Blues,A Frozen Flower,Howling
nm0233785,6.8,55,827,Lloyd Kaufman,The Toxic Avenger,Troma's War,The Toxic Avenger Part III: The Last Temptation of Toxie
nm0233917,5.0,4072,73301,Michael Herz,The Toxic Avenger,The Toxic Avenger Part III: The Last Temptation of Toxie,Sgt. Kabukiman N.Y.P.D.
nm0233957,7.5,9,18,Saman Salur,We Will Say Amen,A Few Kilos of Dates for a Funeral,Lonely Tune of Tehran
nm0234104,8.1,14,14,Paul Devlin,BLAST!,Power Trip,SlamNation
nm0234133,4.2,28,168,Peter Weir,Dead Poets Society,The Truman Show,Master and Commander: The Far Side of the World
nm0234223,7.3,27,54,Hiroyuki Morita,Perfect Blue,Akira,Ghost in the Shell 2: Innocence
nm0234255,6.3,25,75,Luca Ragazzi,What Is Left?,"Italy: Love It, or Leave It",Tiramisu for Two
nm0234340,4.6,9,28,Jennifer Peedom,Mountain,Sherpa,Solo
nm0234482,6.6,71,358,Albert Finney,Saturday Night and Sunday Morning,Erin Brockovich,Big Fish
nm0234520,5.4,738,31770,Ricardo Trogi,1981,1987,Horloge biologique
nm0234527,5.6,40,80,Srdjan Karanovic,Virgina,Petria's Wreath,Fragrance of Wild Flowers
nm0234547,4.2,13,13,Pelin Esmer,The Play,Watchtower,10 to 11
nm0234675,7.0,15,15,Veiko Õunpuu,The Temptation of St. Tony,Autumn Ball,Free Range/Ballad on Approving of the World
nm0234730,7.9,13,13,Florian Gallenberger,Colonia,Shadows of Time,John Rabe
nm0234749,6.9,802,8829,Panos H. Koutras,The Attack of the Giant Mousaka,Real Life,Xenia
nm0234780,7.4,6214,341771,Justin Edgar,We Are the Freaks,Special People,Sex & Drugs & Rock & Roll
nm0234781,8.9,6,13,John Laing,Absent Without Leave,No One Can Hear You,The Lost Tribe
nm0234806,7.1,819,2457,Roberto Benigni,Down by Law,Life Is Beautiful,The Tiger and the Snow
nm0234893,6.3,14645,497932,Irving Schwartz,Perception,The Rosebud Beach Hotel,Swatters
nm0234932,6.6,18,18,Sai Paranjape,Sparsh,Disha,Chakachak
nm0234963,7.5,695,9045,Thanakorn Pongsuwan,Fake,Fireball,Opapatika
nm0235066,6.3,1453,1295337,Frank Kerr,Last Night at Eddie's,Patriots,True Blood
nm0235209,5.4,449,4041,Ali Özgentürk,The Nude,At,Bekçi
nm0235238,5.7,627,10036,Andrey Konchalovskiy,Dyadya Vanya,Paradise,The Postman's White Nights
nm0235370,6.5,210,2102,J. Stephen Maunder,Shadows in Paradise,Tiger Claws III,Expect No Mercy
nm0235387,5.0,239,6238,Keith Alan Morris,Mr. Right,The Clinic,Gutter King
nm0235583,6.7,86,779,Piotr Weresniak,"Och, Karol 2",Zakochani,Station
nm0235584,6.6,73,438,Brian Taylor,Crank,Crank: High Voltage,Gamer
